region	f1	f2	CEFCT
63	6621.869027	6481.617777	3292.523667
46	7558.746391	7276.867771	5218.548673
64	11262.60757	14340.29025	9825.623529
62	39087.32125	53948.9023	13539.07893
50	27937.14819	28762.41018	14950.78599
36	35995.69595	35431.67221	15651.21832
52	30487.79952	39539.44136	20425.3816
45	40652.64958	42076.32037	17606.73635
12	14425.52876	2498.351038	16526.54773
65	43510.30224	57651.08379	19855.71476
53	44275.40057	55563.79735	21467.73964
22	51848.18452	64246.62664	21937.75956
61	47380.52873	55625.40533	23485.6731
34	62821.04645	66341.84674	25778.26281
35	29500.83851	13081.4181	23702.95115
11	18145.80375	-2149.276395	20983.24169
23	99301.27236	141299.1166	26932.49904
43	50907.22591	46334.42441	27874.48428
51	80541.83533	94590.76818	33979.79232
14	43007.22644	47508.7003	41391.56909
42	55177.00688	52823.39764	37418.41553
15	76613.32851	97512.68588	50743.17281
33	46295.55006	12410.20396	42197.35791
41	92754.15603	87525.27608	52534.74212
21	58219.37723	50812.75355	52769.13177
32	88312.98068	45251.93137	60789.67939
44	79668.53646	21495.49278	64899.30759
13	81180.72151	77739.5557	65290.72443
37	108661.8904	77071.84772	88618.38648
31	20514.97636	-3358.756171	34740.80071
